Metric,Training,Testing
RMSE,32.22511270519992,115.35350815827151
MAE,11.759367154437271,100.36697991163723
R²,0.9956616612612045,-0.002649623528516276
MAPE,2.4960983381577573,18.162471677282685
DA,51.40758873929009,50.358974358974365
